id_1,id_2
101,25
2837,25
49,280
131,306
7427,347
392,395
395,406
392,406
11253,484
56,496
337,496
197,496
436,496
7475,496
14908,496
127,770
679,770
2544,779
983,864
1123,864
2442,864
2773,864
2981,864
3584,864
1391,864
2824,864
70,924
3663,924
18,961
496,961
159,961
679,961
715,961
754,961
11244,961
426,961
961,983
159,983
377,983
715,983
754,983
863,1001
495,1001
278,1095
128,1156
672,1156
142,1156
682,1156
141,1211
464,1230
4048,1230
701,1244
359,1300
909,1485
11415,1485
871,1485
101,1517
839,1517
1126,1517
701,1620
1001,1655
909,1660
91,1660
997,1683
1025,1683
1330,1683
197,1683
1068,1683
2235,1719
2860,1719
4296,1719
254,1745
983,1745
754,1745
1205,1745
1247,1745
1387,1745
1639,1745
1654,1745
11244,1745
977,1745
270,1745
2114,1812
1733,1823
654,1876
1387,1891
1654,1891
580,1902
1244,1934
1113,1934
1300,2101
1620,2105
909,2105
1113,2105
1494,2105
648,2112
278,2112
718,2112
513,2112
2080,2112
1044,2114
1479,2114
755,2114
781,2114
1393,2114
909,2117
57,2117
1118,2117
339,2142
405,2142
2114,2190
674,2216
1566,2216
66,2216
794,2217
18,2224
961,2224
1654,2224
1278,2224
2216,2228
2192,2228
227,2325
15158,2325
367,2337
1803,2337
496,2461
338,2461
1827,2461
197,2461
2114,2477
2176,2530
2117,2533
339,2544
2142,2544
909,2544
1730,2544
356,2544
405,2544
9662,2593
12631,2593
13575,2593
15426,2593
4372,2593
9514,2593
10670,2593
12980,2593
13007,2593
17470,2593
4760,2593
961,2596
983,2596
377,2596
715,2596
754,2596
899,2596
1387,2596
1654,2596
2311,2596
2442,2596
917,2596
1209,2596
1278,2596
1586,2596
1921,2596
2245,2596
1103,2596
1271,2596
2422,2596
4975,2596
1012,2668
909,2726
1094,2744
1531,2744
2534,2762
2368,2801
1300,2810
1156,2833
2112,2833
2119,2833
128,2833
672,2833
142,2833
682,2833
2080,2833
701,2837
318,2837
451,2837
2574,2837
2337,2890
367,2890
608,2890
12950,2890
1803,2890
807,2890
6661,2924
8870,2924
2422,2969
794,2990
943,2990
2897,2990
1701,2990
2117,3004
2533,3004
3004,3004
224,3004
2368,3004
339,3024
405,3024
1271,3024
496,3073
1745,3073
22374,3073
997,3073
1330,3073
1387,3073
1654,3073
1901,3073
2085,3073
2442,3073
2773,3073
11363,3073
1372,3073
2874,3073
368,3073
614,3073
1701,3073
770,3097
961,3097
983,3097
2224,3097
377,3097
679,3097
715,3097
1387,3097
1654,3097
2442,3097
3077,3097
977,3097
1007,3097
1209,3097
1921,3097
2245,3097
3040,3097
1103,3097
1271,3097
1282,3097
16340,3101
2442,3110
1586,3110
2245,3110
1531,3223
2014,3223
187,3223
2218,3257
2355,3257
306,3269
1244,3269
1718,3269
2958,3269
1011,3269
1300,3303
2101,3303
2810,3303
1629,3303
359,3303
2034,3303
2419,3303
3216,3303
148,3342
2433,3342
3066,3342
436,3342
1360,3342
7475,3342
356,3342
7427,3342
1387,3390
1654,3390
9968,3390
1271,3390
2942,3390
2112,3396
2837,3420
2732,3493
1461,3493
1012,3569
2112,3570
15246,3616
2603,3616
1291,3616
3577,3616
863,3629
328,3655
70,3663
684,3683
14,3695
50,3695
56,3695
496,3695
11415,3695
7475,3695
1387,3737
2377,3737
477,3788
753,3788
7974,3880
20135,3880
7961,3880
11553,3880
3735,3880
4864,3880
12280,3880
127,3892
3006,3892
1921,3892
3432,3892
1271,3892
1391,3892
1761,3892
794,3948
11415,3948
770,3996
11401,3996
679,3996
1123,3996
1387,3996
2442,3996
3757,3996
917,3996
2981,3996
20135,4022
3679,4022
3672,4022
2837,4086
664,4086
287,4086
5806,4086
2114,4095
2477,4095
3887,4095
5806,4095
5518,4112
6441,4112
5064,4112
5183,4112
7735,4112
9117,4112
9893,4112
11332,4112
197,4112
3630,4112
4676,4112
5469,4112
5495,4112
10578,4112
614,4112
2444,4112
328,4113
1206,4116
1235,4116
1123,4131
3867,4131
1097,4179
1387,4179
2442,4179
2506,4179
2337,4187
2890,4187
367,4187
1803,4187
2897,4187
3081,4187
3862,4187
12812,4187
1730,4279
1265,4279
2268,4279
2514,4279
2553,4290
2112,4318
2595,4382
983,4475
2442,4475
8606,4498
12848,4498
4343,4498
3935,4523
4615,4750
2990,4789
3153,4789
4338,4789
699,4805
3420,4846
2815,4846
66,4846
3753,4919
718,4919
3004,4956
2453,4956
679,4992
2543,4992
2443,5013
1211,5035
141,5035
4296,5035
2442,5073
2981,5073
3584,5073
4502,5073
2533,5089
2192,5089
961,5093
983,5093
5093,5093
1123,5093
1205,5093
1654,5093
2442,5093
4399,5093
133,5093
3584,5093
4502,5093
2750,5099
4131,5099
2377,5099
3556,5099
3830,5099
2068,5099
3867,5099
2114,5108
4095,5108
2854,5108
3887,5108
3907,5108
794,5156
3541,5156
4823,5201
224,5201
1654,5203
1761,5203
3735,5203
4296,5209
4025,5209
2595,5232
2087,5353
4839,5353
496,5361
1683,5361
338,5361
1025,5361
1063,5361
1330,5361
5064,5361
11363,5361
197,5361
4779,5361
5280,5361
2186,5361
2444,5361
3965,5361
1730,5395
1485,5406
1515,5406
11980,5406
4096,5406
12749,5406
4611,5406
91,5410
909,5453
14,5458
18,5458
339,5458
496,5458
961,5458
983,5458
1745,5458
2544,5458
2596,5458
3097,5458
3390,5458
3892,5458
4131,5458
4475,5458
4992,5458
22374,5458
159,5458
567,5458
679,5458
701,5458
715,5458
754,5458
1123,5458
1387,5458
1639,5458
1654,5458
1901,5458
2075,5458
2085,5458
2442,5458
3628,5458
3757,5458
4225,5458
4453,5458
4499,5458
4518,5458
4689,5458
4948,5458
5011,5458
5398,5458
5432,5458
5451,5458
8606,5458
11244,5458
197,5458
426,5458
1007,5458
1372,5458
1921,5458
2245,5458
2874,5458
3432,5458
3630,5458
4786,5458
7460,5458
405,5458
927,5458
1271,5458
1391,5458
1649,5458
2284,5458
2942,5458
3153,5458
3499,5458
3735,5458
3805,5458
3889,5458
4042,5458
4502,5458
5212,5458
9493,5458
11775,5458
18334,5459
3047,5459
6140,5459
6872,5459
4296,5483
961,5513
1745,5513
2596,5513
3097,5513
3892,5513
4131,5513
4179,5513
5099,5513
5458,5513
6160,5513
6441,5513
8790,5513
8883,5513
9125,5513
11323,5513
11341,5513
13434,5513
1097,5513
1387,5513
1654,5513
2442,5513
2506,5513
2773,5513
4399,5513
4499,5513
5432,5513
8700,5513
9093,5513
9294,5513
9319,5513
10261,5513
11332,5513
11449,5513
11594,5513
11617,5513
12464,5513
22265,5513
1007,5513
1278,5513
1586,5513
1921,5513
3242,5513
3334,5513
3374,5513
5132,5513
5622,5513
5650,5513
6806,5513
7653,5513
7966,5513
8139,5513
8232,5513
8293,5513
8482,5513
9284,5513
9373,5513
9525,5513
9571,5513
11273,5513
11538,5513
11634,5513
11683,5513
11756,5513
12408,5513
21231,5513
1071,5513
1271,5513
1391,5513
1761,5513
2824,5513
2942,5513
3867,5513
4502,5513
5228,5513
6232,5513
8869,5513
9220,5513
9526,5513
11644,5513
11704,5513
11762,5513
11804,5513
12371,5513
12842,5513
13252,5513
16978,5513
496,5518
2461,5518
1827,5518
2684,5518
2991,5518
5064,5518
5183,5518
560,5518
1372,5518
2673,5518
3630,5518
3994,5518
5495,5518
1701,5518
4296,5529
2743,5597
3464,5740
1404,5740
5458,5748
7694,5748
22374,5748
1901,5748
3864,5748
4499,5748
4656,5748
5064,5748
8606,5748
197,5748
3229,5748
5382,5748
8004,5748
15110,5748
3499,5748
3735,5748
4911,5748
5212,5748
5994,5748
4296,5819
4338,5819
496,5828
4992,5828
3374,5828
4786,5828
2837,5890
9382,5890
339,5918
2142,5918
5458,5918
5918,5918
127,5918
1387,5918
1654,5918
2773,5918
4516,5918
4440,5918
1271,5918
701,5925
839,5925
1618,5925
19879,5925
20550,5925
1025,5931
1330,5931
4431,5931
11363,5931
197,5931
4676,5931
5280,5931
347,5951
916,5951
1063,5951
4737,5951
391,5951
4064,5951
1194,5951
7427,5951
18828,5951
5597,6029
7162,6029
12158,6029
3631,6029
5070,6029
9549,6029
18343,6029
19739,6029
20083,6029
4716,6029
13597,6029
16469,6029
4338,6029
6510,6029
9891,6029
12573,6029
14296,6029
